Algorithm name,Accuracy
KNN,0.704301075268817
KNN,0.71236559139785
KNN,0.733870967741936
KNN,0.717741935483871
KNN,0.752688172043011
KNN,0.755376344086022
KNN,0.752688172043011
KNN,0.744623655913979
KNN,0.743935309973046
KNN,0.757412398921833
RF,0.903225806451613
RF,0.895161290322581
RF,0.900537634408602
RF,0.908602150537634
RF,0.919354838709677
RF,0.895161290322581
RF,0.89247311827957
RF,0.911290322580645
RF,0.900269541778976
RF,0.902964959568733
SVM,0.588709677419355
SVM,0.623655913978495
SVM,0.637096774193548
SVM,0.56989247311828
SVM,0.577956989247312
SVM,0.508064516129032
SVM,0.567204301075269
SVM,0.620967741935484
SVM,0.595687331536388
SVM,0.609164420485175
NN,0.432795669892483
NN,0.419525154812814
NN,0.440315138151844
NN,0.423492976852856
NN,0.433258729295249
NN,0.431258181687676
NN,0.424887316138431
NN,0.431684168431684
NN,0.434684616731352
NN,0.441538741384138
